doc_id;datetime;text;media;alt_text;likes;reposts;replies;username;handle;user_description;user_image;user_followers;commented_post;sponsored;target;condition;sequence;comment_0;comment_user_0;comment_image_0;verified_user_comment_0;comment_time_0;comment_likes_count_0;comment_liked_author_0;pinned_comment_0;member_comment_0;subcomments_comment_0;comment_1;comment_user_1;comment_image_1;verified_user_comment_1;comment_time_1;comment_likes_count_1;comment_liked_author_1;pinned_comment_1;member_comment_1;subcomments_comment_1;comment_2;comment_user_2;comment_image_2;verified_user_comment_2;comment_time_2;comment_likes_count_2;comment_liked_author_2;pinned_comment_2;member_comment_2;subcomments_comment_2;comment_3;comment_user_3;comment_image_3;verified_user_comment_3;comment_time_3;comment_likes_count_3;comment_liked_author_3;pinned_comment_3;member_comment_3;subcomments_comment_3;comment_4;comment_user_4;comment_image_4;verified_user_comment_4;comment_time_4;comment_likes_count_4;comment_liked_author_4;pinned_comment_4;member_comment_4;subcomments_comment_4;comment_5;comment_user_5;comment_image_5;verified_user_comment_5;comment_time_5;comment_likes_count_5;comment_liked_author_5;pinned_comment_5;member_comment_5;subcomments_comment_5;comment_6;comment_user_6;comment_image_6;verified_user_comment_6;comment_time_6;comment_likes_count_6;comment_liked_author_6;pinned_comment_6;member_comment_6;subcomments_comment_6
10;21.03.2025 12:00;What makes a katana special? #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_5.mp4;;164000;0;6;blumineck;blumineck;Creator;;2250000;;1;;B;;Didn't even felt like watching an ad, your videos are amazing!;peter_luis;;;;203;0;0;;;That katana needed a 5 hour maintenance session after filming all that footage;qanni212;;;;184;0;0;0;;You look so cool with that katana, love your style;disaster2048;;;;187;1;0;;;Its longevity is due to its more status trinket that a weapon. Rarely used.;artywolve;;;;143;0;0;;;I wasn't expecting you of all people to sell out like this;yammoto148;;;;104;0;0;;;Blunineck has the least annoying sponsorships because it’s not the same 10 mobile games or VPNs;beingjhonny1;;;;97;1;0;;;Man, imagine the time when those were necessary and you have one equipped on your waist at all times.;Safiay2u;;;;83;0;0;;
11;21:10:2025 10:30;Will this lip stain survive the spicy noodle test? #NYXCosmeticsAUNZ #NYXLipIV #LipStain #Ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_6.mp4;;495000;0;6;Jiny Maeng;jinymaeng;Creator;;2770000;;1;;B;;Girl, you're the prettiest!! Abu is adorable too! ❤;oshinaa661;;;;195;0;1;;;That purrr from ur baby cat... So cute 😱😊;ValAna-ic8hh;;;;167;0;0;0;;You've been going hard on make up videos lately, at least you still include food in them;oshinaa661;;;;167;0;0;;;lol the kitty just chillin on the last cut of the video lmao;Colleen.nov.1;;;;148;0;0;;;These are my favorite lip stains I love the shade bubble gum burst!;maypalserrup;;;;132;0;0;;;Wow these lip stains are epic! The last shade looks soooo good!;pba21;;;;119;1;0;;;she gives me the Anna Cathcart vibe;Cdash1551;;;;102;0;0;;
12;28.05.2025 08:00;LEGO Super Mario: Mario Kart race track. Let’s-a-go! #LEGO #ad #LEGOSuperMario #TheWorldisYourTrack;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_1.mp4;;289000;0;6;Joseph's Machines;JosephsMachines;Creator;;7730000;;1;;C;;This is the kind of yt content I miss. Incredible work, man.;Qmsolo;;;;185;1;0;;;I think where the racers fell was a shortcut;JeMico_plays;;;;162;0;0;0;;Lego has been releasing a lot of video game sets lately;BoxDesire;;;;153;0;0;;;As you can clearly see through the CCTV footage, the defendant - Mario S. Mario - is doubtlessly a reckless driver.;alexandredesouza3692;;;;142;0;0;;;Interesting, this is the first time I'm seeing these sets in action;World_of_Drama;;;;122;1;0;;;I really hate how these sets look, I wish they would work a bit more on the designs;okaytiming1398;;;;117;0;0;;;That turtle shell is what made my day 😁;D130G;;;;108;0;0;;
13;23.10.2025 09:00;Schlatt Was Left SO CONFUSED 💀 #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_2.mp4;;129000;0;6;Big guy;bigmanschlatt;Creator;;4320000;;1;;C;;This brings back memories! I loved playing this game.;AdeBeforeLasode;;;;192;1;1;;;I didn't think I'd ever see Schlatt wearing glasses but here I am.;Name_Nah00;;;;175;0;0;0;;Schlatt, you look great today. 🫡;ChefSuperior;;;;180;0;0;;;Gotta love those people who put everything out in the open and then put all their walls in rows;gojithecringe;;;;165;0;0;;;I wasn't expecting you to stoop this low for money, shame;FreyjaTheAwesome;;;;134;0;0;;;You look like a different person with those glasses;peazeralus;;;;123;1;0;;;By surrendering he actually proved the base’s effectiveness. Welcome to trophy bases 101;melinakatsa1;;;;14;0;0;;
14;25.10.2025 09:30;A mirror that can hold my glasses;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_3.mp4;;5300;0;6;Simone Giertz;simonegiertz;Creator;;286000;;1;;C;;"I used to have ""photogray"" glasses that did the same. They were pretty useful, but when I got on stage with strong stage lights, they turned into sunglasses. So, they're a not ideal for every situation";Oltoir;;;;163;0;1;;;… I need to make this mirror;blueredingreen;;;;147;0;0;0;;I support your ads for non scummy products, like transition lenses, but please clarify that they are not fit to be safety glasses;pretzel2772;;;;147;0;0;;;That mirror looks so useful;suep4995;;;;138;0;0;;;I just got prescription glasses for the first time a few months ago. I got a normal pair, and a pair of transitions. I genuinely quite love my transitions. It’s really cool how well they adapt.;vkrone;;;;118;0;0;;;Everyone should get transition lenses, they make life so much easier!;musichello7443;;;;107;1;0;;;What video the first table was from?;Muckaan;;;;93;0;0;;
15;05.12.2025 11:00;#Sponsored Egg Drop Experiment 😱🥚@GoogleGemini;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_4.mp4;;61000;0;6;Jenny Hoyos;JennyHoyos;Creator;;12400000;;1;;C;;Gemini is so amazing wonderful app;namax66;;;;210;0;1;;;"""It didn't break!"" ""oh now it breaked.""";PKNation5;;;;200;0;0;0;;Gemini is really good for everyday stuff, but I like claude better for more advanced tasks;Me123Reyes;;;;193;0;0;;;I did it once by doing everything putting metal on it and doing everything that got in my head and nothing worked😂;RangerRammo;;;;160;0;0;;;While it's not the strongest AI out there, gemini has the best free offering;ItsValky6;;;;125;1;0;;;Gemini is so trash, should have used ChatGPT;fire-blossoms;;;;116;0;0;;;"""Now it did"" 😂😂😂😂😂";ChiEdmundo;;;;97;0;0;;
16;21.03.2025 12:00;What makes a katana special? #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_5.mp4;;164000;0;6;blumineck;blumineck;Creator;;2250000;;1;;C;;I wasn't expecting you of all people to sell out like this;peter_luis;;;;203;0;0;;;That katana needed a 5 hour maintenance session after filming all that footage;qanni212;;;;184;0;0;0;;Didn't even felt like watching an ad, your videos are amazing!;disaster2048;;;;187;0;0;;;Its longevity is due to its more status trinket that a weapon. Rarely used.;artywolve;;;;143;0;0;;;You look so cool with that katana, love your style;yammoto148;;;;104;1;0;;;Blunineck has the least annoying sponsorships because it’s not the same 10 mobile games or VPNs;beingjhonny1;;;;97;1;0;;;Man, imagine the time when those were necessary and you have one equipped on your waist at all times.;Safiay2u;;;;83;0;0;;
17;21:10:2025 10:30;Will this lip stain survive the spicy noodle test? #NYXCosmeticsAUNZ #NYXLipIV #LipStain #Ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_6.mp4;;495000;0;6;Jiny Maeng;jinymaeng;Creator;;2770000;;1;;C;;You've been going hard on make up videos lately, at least you still include food in them;oshinaa661;;;;195;1;0;;;That purrr from ur baby cat... So cute 😱😊;ValAna-ic8hh;;;;167;0;0;0;;Girl I like your videos but stick to cooking;oshinaa661;;;;167;0;0;;;lol the kitty just chillin on the last cut of the video lmao;Colleen.nov.1;;;;148;0;0;;;Wow these lip stains are epic! The last shade looks soooo good!;maypalserrup;;;;132;0;0;;;These are my favorite lip stains I love the shade bubble gum burst!;pba21;;;;119;1;0;;;she gives me the Anna Cathcart vibe;Cdash1551;;;;102;0;0;;
18;28.05.2025 08:00;LEGO Super Mario: Mario Kart race track. Let’s-a-go! #LEGO #ad #LEGOSuperMario #TheWorldisYourTrack;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_1.mp4;;289000;0;6;Joseph's Machines;JosephsMachines;Creator;;7730000;;1;;D;;This is the kind of yt content I miss. Incredible work, man.;Qmsolo;;;;185;0;1;;;I think where the racers fell was a shortcut;JeMico_plays;;;;162;0;0;0;;Lego has been releasing a lot of video game sets lately;BoxDesire;;;;153;0;0;;;As you can clearly see through the CCTV footage, the defendant - Mario S. Mario - is doubtlessly a reckless driver.;alexandredesouza3692;;;;142;0;0;;;Interesting, this is the first time I'm seeing these sets in action;World_of_Drama;;;;122;1;0;;;I really hate how these sets look, I wish they would work a bit more on the designs;okaytiming1398;;;;117;0;0;;;That turtle shell is what made my day 😁;D130G;;;;108;0;0;;
19;23.10.2025 09:00;Schlatt Was Left SO CONFUSED 💀 #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_2.mp4;;129000;0;6;Big guy;bigmanschlatt;Creator;;4320000;;1;;D;;Even his ads are fun to watch, gotta love this guy;AdeBeforeLasode;;;;192;1;1;;;I didn't think I'd ever see Schlatt wearing glasses but here I am.;Name_Nah00;;;;175;0;0;0;;Schlatt, you look great today. 🫡;ChefSuperior;;;;180;0;0;;;Gotta love those people who put everything out in the open and then put all their walls in rows;gojithecringe;;;;165;0;0;;;I really enjoy watching you play, keep up the good work!;FreyjaTheAwesome;;;;134;1;0;;;I wasn't expecting you to stoop this low for money, shame;peazeralus;;;;123;0;0;;;By surrendering he actually proved the base’s effectiveness. Welcome to trophy bases 101;melinakatsa1;;;;14;0;0;;
20;25.10.2025 09:30;A mirror that can hold my glasses;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_3.mp4;;5300;0;6;Simone Giertz;simonegiertz;Creator;;286000;;1;;D;;I support your ads for non scummy products, like transition lenses, but please clarify that they are not fit to be safety glasses;Oltoir;;;;163;0;0;;;… I need to make this mirror;blueredingreen;;;;147;0;0;0;;I just got prescription glasses for the first time a few months ago. I got a normal pair, and a pair of transitions. I genuinely quite love my transitions. It’s really cool how well they adapt.;pretzel2772;;;;147;0;0;;;That mirror looks so useful;suep4995;;;;138;0;0;;;Everyone should get transition lenses, they make life so much easier!;vkrone;;;;118;1;0;;;"I used to have ""photogray"" glasses that did the same. They were pretty useful, but when I got on stage with strong stage lights, they turned into sunglasses. So, they're a not ideal for every situation";musichello7443;;;;107;0;0;;;What video the first table was from?;Muckaan;;;;93;0;0;;
21;05.12.2025 11:00;#Sponsored Egg Drop Experiment 😱🥚@GoogleGemini;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_4.mp4;;61000;0;6;Jenny Hoyos;JennyHoyos;Creator;;12400000;;1;;D;;Gemini is so amazing wonderful app;namax66;;;;210;0;0;;;"""It didn't break!"" ""oh now it breaked.""";PKNation5;;;;200;0;0;0;;Gemini is really good for everyday stuff, but I like claude better for more advanced tasks;Me123Reyes;;;;193;1;0;;;I did it once by doing everything putting metal on it and doing everything that got in my head and nothing worked😂;RangerRammo;;;;160;0;0;;;Gemini is so trash, should have used ChatGPT;ItsValky6;;;;125;0;0;;;Hi Jenny love your vid’s keep it up❤;fire-blossoms;;;;116;0;0;;;"""Now it did"" 😂😂😂😂😂";ChiEdmundo;;;;97;0;0;;
22;21.03.2025 12:00;What makes a katana special? #ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_5.mp4;;164000;0;6;blumineck;blumineck;Creator;;2250000;;1;;D;;I have custom ordered a wakazashi from Swordis, can be as cheap or fancy as you like. 100% recommend;peter_luis;;;;203;1;0;;;That katana needed a 5 hour maintenance session after filming all that footage;qanni212;;;;184;0;0;0;;Didn't even felt like watching an ad, your videos are amazing!;disaster2048;;;;187;1;0;;;Its longevity is due to its more status trinket that a weapon. Rarely used.;artywolve;;;;143;0;0;;;I wasn't expecting you of all people to sell out like this;yammoto148;;;;104;0;0;;;Blunineck has the least annoying sponsorships because it’s not the same 10 mobile games or VPNs;beingjhonny1;;;;97;1;0;;;Man, imagine the time when those were necessary and you have one equipped on your waist at all times.;Safiay2u;;;;83;0;0;;
23;21:10:2025 10:30;Will this lip stain survive the spicy noodle test? #NYXCosmeticsAUNZ #NYXLipIV #LipStain #Ad;https://cdn.jsdelivr.net/gh/atarikozbek/DICE@thesisTarik/DICE/DICE/static/videos/Vid_6.mp4;;495000;0;6;Jiny Maeng;jinymaeng;Creator;;2770000;;1;;D;;I'm not the biggest fan of how these lip stains look on me, but I guess they look good on you;oshinaa661;;;;195;1;1;;;That purrr from ur baby cat... So cute 😱😊;ValAna-ic8hh;;;;167;0;0;0;;You've been going hard on make up videos lately, at least you still include food in them;oshinaa661;;;;167;0;0;;;lol the kitty just chillin on the last cut of the video lmao;Colleen.nov.1;;;;148;0;0;;;They look great on you, not sure if its my style tho;maypalserrup;;;;132;0;0;;;Gurll these are actually made for you! Wonder if they would look as good for me;pba21;;;;119;1;0;;;she gives me the Anna Cathcart vibe;Cdash1551;;;;102;0;0;;
